Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
8/07/2020,22618,23118.2,22532.9,22610.8,23118.2,nan,21750,-2220,762.85,0,1,0.344526
7/07/2020,22210,22656,22000.9,22603.3,nan,nan,21750,-2220,766.55,1,1,2.6651
6/07/2020,22201,22444,22141,22226.3,nan,nan,20886.4,-2220,784.5,1,1,0.383555
3/07/2020,22149,22162,21750,21843.9,21750,nan,20886.4,-2220,799.75,1,1,0.429868
2/07/2020,22080.8,22289.7,21827,21977.3,22289.7,nan,20886.4,-2220,819.75,1,1,0.68366
1/07/2020,21190,22014,21155,21930.5,nan,nan,20886.4,-2220,838.95,1,1,3.53595
30/06/2020,21443,21553.2,21036,21213.9,nan,nan,19435.8,-2220,853.3,1,1,0.838367
29/06/2020,21251,21325.9,20886.4,21235.2,20886.4,nan,19435.8,-2220,869.1,1,1,1.64279
26/06/2020,21600,21717,21167,21462.2,nan,nan,19435.8,-2220,894.35,1,1,1.37498
25/06/2020,21174.9,21717.7,20906.4,21503.2,nan,nan,19435.8,-2220,893.25,1,1,2.7754
24/06/2020,22494.9,22494.9,21300.3,21400.6,22494.9,nan,19435.8,-2220,891.3,0,1,0.468678
23/06/2020,21779.2,22360,21622.2,22291.8,nan,nan,19435.8,-2220,902.5,0,1,3.0038
22/06/2020,21450,22126.9,21351.2,21697,nan,21775,19435.8,-2220,889.3,0,1,1.59354
19/06/2020,20890,21464.2,20826,21308.9,nan,21775,nan,2058.3,893.1,0,1,2.26596
18/06/2020,20080,20975,19977.2,20912.7,nan,21775,nan,2058.3,891.65,0,0,4.47313
17/06/2020,20048.6,20620.5,19917,20147.5,nan,21775,nan,2058.3,875.55,1,0,1.14456
16/06/2020,20503,20635,19435.8,20254.4,19435.8,21775,nan,2058.3,882.7,1,0,4.04135
15/06/2020,20405.7,20430.2,19655,19911.5,nan,21775,nan,2058.3,890.2,0,0,1.2882
12/06/2020,19555,20728,19555,20624.5,nan,21775,20233.3,2058.3,863.15,1,0,5.18558
11/06/2020,20917.7,21239.7,20443,20508.9,nan,nan,20233.3,1206,837.5,1,0,0.321081
10/06/2020,20685,21300,20640,21119.4,nan,nan,20233.3,1206,865.65,1,0,2.26995
9/06/2020,21201,21590,20576,20677.9,nan,nan,20233.3,1206,871.75,1,0,0.492556
8/06/2020,21685.4,21775,20870.4,21161.6,21775,nan,20233.3,1206,863.3,1,0,1.37608
5/06/2020,20431,21192.5,20388,21016.4,nan,nan,18655.8,1206,855.1,1,0,2.99005
4/06/2020,20862.7,21080,20233.3,20380,20233.3,nan,18655.8,1206,836.65,0,1,0.71958
3/06/2020,20935,21611.5,20739.2,20882.4,21611.5,nan,18655.8,1206,840.25,0,1,0.685745
2/06/2020,19880,20584,19750,20466.4,nan,nan,18655.8,1206,829.65,0,1,3.50014
1/06/2020,19490.4,20179.8,19450,19894.1,nan,nan,17006,1206,889.1,0,1,2.23232
29/05/2020,18918,19183.2,18655.8,19099.2,18655.8,nan,17006,1206,877.9,0,1,13.3407
28/05/2020,18816.5,19436,18748.5,19162,19436,nan,17006,1206,899.5,0,0,12.9098
27/05/2020,17556.8,18863.3,17484.6,18663,nan,18175,17006,1206,892.95,0,0,18.7811
26/05/2020,17525,17690,17261.6,17445.2,nan,18175,nan,-1018.45,858.15,1,0,19.817
22/05/2020,17499.5,17900,17006,17216.1,17006,20199,nan,-1018.45,874.55,1,0,21.0045
21/05/2020,17923.3,18175,17565.6,17644.9,18175,20199,nan,-1018.45,867.85,1,0,12.9673
20/05/2020,17390,18027,17351.7,17836.7,nan,20199,nan,-1018.45,879.2,0,0,14.0271
19/05/2020,17735,18165,17318,17438.8,17318,20199,nan,-1018.45,911.2,0,0,14.1941
18/05/2020,18705.1,18711.1,17458.3,17531.6,nan,20199,nan,-1018.45,905.1,0,0,14.7636
15/05/2020,19079.6,19079.7,18651,18807.7,nan,20199,nan,-1018.45,913.15,1,0,10.1105
14/05/2020,19225.7,19340.5,18957.2,19038.8,nan,21984.9,nan,-1018.45,939.4,1,1,8.63448
13/05/2020,19950,20199,19423,19617,20199,21984.9,nan,-1018.45,984.3,1,1,0.988938
12/05/2020,18696,18991,18209,18839.1,18209,21984.9,nan,-1018.45,948.35,1,1,6.54431
11/05/2020,19489.9,19700,18855,18914.4,nan,21984.9,nan,-1018.45,959.2,1,1,4.62002
8/05/2020,19825,19950,19210,19284.7,nan,21984.9,nan,-1018.45,1022.15,1,1,0.387095
7/05/2020,19470,19743.4,19300,19505.3,nan,21984.9,nan,-1018.45,1088.85,1,1,1.05253
6/05/2020,19219.2,19819,18900,19672,nan,21984.9,nan,-1018.45,1124.25,0,1,3.92412
5/05/2020,19906,20098,19164.4,19246.4,nan,21984.9,19381,-1018.45,1136.95,0,1,0.426055
4/05/2020,20600,20600,19505,19632.8,nan,nan,19381,9930.15,1125.3,0,1,0.650698
30/04/2020,21550.2,21984.9,21342.9,21527.8,21984.9,nan,19381,9930.15,1081.35,0,0,0.858659
29/04/2020,20540,21359.9,20401,21128.1,nan,nan,19381,9930.15,1134.6,0,0,3.44115
28/04/2020,20399.5,20749,20242,20676.1,nan,20299.9,19381,9930.15,1183.9,1,0,2.09953
27/04/2020,19690,20240,19690,20107.1,nan,20299.9,nan,-997.45,1258.55,1,0,2.07439
24/04/2020,19734.8,19860,19381,19517.1,19381,21099.9,nan,-997.45,1318.9,1,0,0.697337
23/04/2020,19798,20299.9,19539.9,20182.8,20299.9,21099.9,nan,-997.45,1456.45,1,0,3.18515
22/04/2020,19240,19837.8,19002,19677.4,19002,21099.9,nan,-997.45,1504.2,1,0,6.36803
21/04/2020,19825,19880,19167,19333.9,nan,21272.8,nan,-997.45,1571.6,1,0,5.55524
20/04/2020,21086.9,21099.9,20374,20482.2,21099.9,21272.8,nan,-997.45,1615.9,0,0,0.701581
17/04/2020,20350,20934.2,19624.3,20748.8,nan,21272.8,nan,-997.45,1660,0,0,10.9486
16/04/2020,18905.4,19554.9,18601,19424.3,nan,21272.8,nan,-997.45,1697.65,1,1,18.9878
15/04/2020,19986,20219,18661.4,18989.7,nan,21272.8,nan,-997.45,1879.55,1,1,25.4406
13/04/2020,19680,19826.3,19185,19484.1,nan,21272.8,nan,-997.45,1957.1,1,1,23.3488
9/04/2020,19488.8,19888,19071,19768.3,nan,21272.8,nan,-997.45,1955.2,0,1,28.0079
8/04/2020,18816,20599,18495,18889.5,nan,21272.8,nan,-997.45,1997.65,1,0,30.2753
7/04/2020,18254.5,19250,17921,19172,nan,21272.8,nan,-997.45,1969.9,0,0,35.4964
3/04/2020,18226.1,18226.1,17075,17175.8,17075,21272.8,nan,-997.45,1897.85,0,0,40.7721
1/04/2020,18900,18996,17962.7,18171.2,nan,21272.8,nan,-997.45,1897.4,1,0,37.6931
31/03/2020,19284.7,19500,18817.7,19135.5,nan,21272.8,nan,-997.45,1867.5,1,0,35.6084
30/03/2020,19086,19820,18676,18799.5,nan,31098.4,nan,-997.45,1884.9,1,0,36.0931
27/03/2020,20251,21272.8,19350.4,19778.7,21272.8,31098.4,nan,-997.45,1888.35,0,0,33.3984
26/03/2020,18700,20279.8,18335.5,19597.9,nan,31098.4,nan,-997.45,1810.45,0,0,39.2531
25/03/2020,16800,18735.5,16600.2,18487,nan,31098.4,nan,-997.45,1732.8,0,0,45.2417
24/03/2020,17550,17950,16020.6,16929.8,16020.6,31098.4,nan,-997.45,1640.15,0,0,47.4183
23/03/2020,18265,19200,16741.5,16881,nan,31098.4,nan,-997.45,1570.95,0,0,45.052
20/03/2020,19960,20933,19217.8,20294.4,nan,31098.4,nan,-997.45,1413.3,0,0,37.8844
19/03/2020,19499,20971.2,18787.7,20028.5,nan,31098.4,nan,-997.45,1345.45,0,0,39.2746
18/03/2020,22199,22351,20150,20518,nan,31098.4,nan,-997.45,1260.95,0,0,34.8712
17/03/2020,23193.3,23448,21840,22037,nan,31098.4,nan,-997.45,1169.65,0,0,29.0364
16/03/2020,24311.3,24434,22766.2,22960.8,nan,31098.4,nan,-997.45,1124.1,0,0,26.3278
13/03/2020,22600,25591.9,21000,25028.9,nan,31098.4,nan,-997.45,1032.85,0,0,32.7599
12/03/2020,25190,25344,23381,23845,nan,31098.4,nan,-997.45,815.1,0,0,25.9319
